Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R791,100M,R_0805_2012Metric,41.21,64.1675,-90.0,top
R792,10k,R_0402_1005Metric,40.03,66.45,180.0,top
R793,1M,R_0603_1608Metric,43.21,62.965,-90.0,top
R8101,4.42k,R_0402_1005Metric,14.99,62.14,0.0,top
R8102,6.81k,R_0402_1005Metric,15.15,65.04,180.0,top
R811,4.42k,R_0402_1005Metric,37.49,128.04,180.0,top
R8111,4.42k,R_0402_1005Metric,-22.58,68.06,180.0,top
R8112,6.81k,R_0402_1005Metric,-22.74,65.16,0.0,top
R812,6.81k,R_0402_1005Metric,37.33,125.14,0.0,top
R8121,4.42k,R_0402_1005Metric,-45.03,62.15,0.0,top
R8122,6.81k,R_0402_1005Metric,-44.87,65.05,180.0,top
R8131,4.42k,R_0402_1005Metric,37.61,38.1,180.0,top
R8132,6.81k,R_0402_1005Metric,37.45,35.2,0.0,top
R8141,4.42k,R_0402_1005Metric,7.55,38.12,180.0,top
R8142,6.81k,R_0402_1005Metric,7.39,35.22,0.0,top
R8151,4.42k,R_0402_1005Metric,-15.07,32.14,0.0,top
R8152,6.81k,R_0402_1005Metric,-14.91,35.04,180.0,top
R8161,4.42k,R_0402_1005Metric,-45.03,32.15,0.0,top
R8162,6.81k,R_0402_1005Metric,-44.87,35.05,180.0,top
R821,4.42k,R_0402_1005Metric,7.54,128.28,180.0,top
R822,6.81k,R_0402_1005Metric,7.38,125.38,0.0,top
R831,4.42k,R_0402_1005Metric,-15.01,122.15,0.0,top
R832,6.81k,R_0402_1005Metric,-14.85,125.05,180.0,top
R841,4.42k,R_0402_1005Metric,-45.01,122.16,0.0,top
R842,6.81k,R_0402_1005Metric,-44.85,125.06,180.0,top
R851,4.42k,R_0402_1005Metric,44.98,92.16,0.0,top
R852,6.81k,R_0402_1005Metric,45.14,95.06,180.0,top
R861,4.42k,R_0402_1005Metric,14.96,92.14,0.0,top
R862,6.81k,R_0402_1005Metric,15.12,95.04,180.0,top
R871,4.42k,R_0402_1005Metric,-22.55,97.99,180.0,top
R872,6.81k,R_0402_1005Metric,-22.71,95.09,0.0,top
R881,4.42k,R_0402_1005Metric,-45.07,92.09,0.0,top
R882,6.81k,R_0402_1005Metric,-44.91,94.99,180.0,top
R891,4.42k,R_0402_1005Metric,44.98,62.14,0.0,top
R892,6.81k,R_0402_1005Metric,45.14,65.04,180.0,top
R91,22,R_0402_1005Metric,-8.58,83.73,180.0,top
SW11,K3-1280S-L1,SW_Nidec_CAS-120A1,57.34234,80.14522,0.0,top
U11,TPS7A2033PDBVR,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,37.14,84.37,-90.0,top
U111,ADS8867IDRCR,WSON-10_L3.0-W3.0-P0.50-BL-EP,-17.35,83.73,90.0,top
U121,nRF52840-QIAA,AQFN50P700X700X85_HS-74N,-35.1,132.51,90.0,top
U131,BQ25100AYFPR,DSBGA-6_L0.9-W1.6-R2-C3-P0.40-BL,51.01,83.69,-90.0,top
U132,TPS22910AYZVR,DSBGA-4_L0.9-W0.9-R2-C2-P0.50-BL,51.01,82.235,0.0,top
U21,REF3330AIDCKR,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,-20.01,78.61,0.0,top
U22,OPA320AIDBVT,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,-6.23,87.65,90.0,top
U31,TPS62840DLCR,VSON-8_L2.0-W1.5-P0.50-BL,31.59,78.18,90.0,top
U32,TLV9001IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,25.33,72.76,0.0,top
U33,TPS7A2018YCKR,BGA-4_L0.6-W0.6-P0.35-R2-C2-TL_TPS7A2012PYCJR,20.5,74.57,90.0,top
U41,OPA333AIDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,13.03,80.08,-90.0,top
U42,TLV9001IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,9.13,85.67,-90.0,top
U7101,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,13.2,65.54,-90.0,top
U711,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,39.28,124.64,90.0,top
U7111,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-20.79,64.66,90.0,top
U7121,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-46.82,65.55,-90.0,top
U7131,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,39.4,34.7,90.0,top
U7141,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,9.34,34.72,90.0,top
U7151,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-16.86,35.54,-90.0,top
U7161,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-46.82,35.55,-90.0,top
U721,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,9.33,124.88,90.0,top
U731,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-16.8,125.55,-90.0,top
U741,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-46.8,125.56,-90.0,top
U751,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,43.19,95.56,-90.0,top
U761,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,13.17,95.54,-90.0,top
U771,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-20.76,94.59,90.0,top
U781,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,-46.86,95.49,-90.0,top
U791,OPA2392YBJR,DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,43.19,65.54,-90.0,top
U91,TMUX1108PWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,-3.43,109.91,180.0,top
U92,TMUX1108PWR,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,-3.5225,49.53,180.0,top
U93,TMUX1248DCKR,SC-70-6_L2.0-W1.3-P0.65-LS2.2-BL,-6.74,81.8,90.0,top
X121,X201632MMB4SI,CRYSTAL-SMD_4P-L2.0-W1.6-BL,-41.2025,136.7625,-90.0,top
X122,32.768kHz,CRYSTAL-SMD_L2.0-W1.2,-36.24,125.09,-90.0,top
